,Mean,Std Dev,Min,Median,Max
W,16.284317718940937,6.610959579794767,0.0,16.0,38.0
ADJOE,103.30448065173115,7.376980504669358,76.6,103.0,129.1
ADJDE,103.30460285132382,6.605318113375272,84.0,103.5,124.0
BARTHAG,0.4939573116089613,0.2562438753328191,0.005,0.475,0.9842
EFG_O,49.80513238289206,3.14306103243586,39.2,49.7,59.8
EFG_D,50.0013849287169,2.939602239228062,39.6,50.0,59.5
TOR,18.763054989816702,2.0905947539528666,11.9,18.7,27.1
TORD,18.689572301425663,2.201749050131298,10.2,18.6,28.5
ORB,29.875641547861505,4.134331748609928,15.0,29.9,43.6
DRB,30.075478615071283,3.1514542905339584,18.4,30.0,40.4
FTR,35.989775967413436,5.2478199524152345,21.6,35.8,58.6
FTRD,36.26997963340122,6.245900285345833,21.8,35.8,60.7
ADJ_T,67.81230142566191,3.277622163775112,57.2,67.8,83.4
WAB,-7.802484725050918,6.965735642502485,-25.2,-8.3,13.1
