TEAM,SEED,WAB,PRED_PROB_RF,SWEET16_PLUS,POSTSEASON
Kentucky,2.0,8.8,0.801,1,E8
Duke,1.0,11.2,0.779,1,E8
Gonzaga,1.0,7.0,0.766,1,E8
Michigan St.,2.0,10.7,0.751,1,F4
North Carolina,1.0,10.0,0.725,1,S16
Virginia,1.0,11.1,0.707,1,Champions
Michigan,2.0,9.2,0.704,1,S16
Tennessee,2.0,9.9,0.701,1,S16
Houston,3.0,7.8,0.69,1,S16
Texas Tech,3.0,7.0,0.684,1,2ND
Purdue,3.0,6.1,0.587,1,E8
LSU,3.0,7.3,0.585,1,S16
Florida St.,4.0,7.6,0.573,1,S16
Auburn,5.0,6.1,0.558,1,F4
Virginia Tech,4.0,5.0,0.553,1,S16
Iowa St.,6.0,4.3,0.511,0,R64
Kansas,4.0,8.3,0.46,0,R32
Mississippi St.,5.0,4.5,0.424,0,R64
Cincinnati,7.0,5.8,0.39,0,R64
Maryland,6.0,4.2,0.388,0,R32
Wofford,7.0,4.0,0.349,0,R32
Buffalo,6.0,5.5,0.318,0,R32
Wisconsin,5.0,6.3,0.293,0,R64
Kansas St.,4.0,6.5,0.288,0,R64
Saint Mary's,11.0,-0.8,0.234,0,R64
Florida,10.0,0.7,0.227,0,R32
UCF,9.0,2.0,0.213,0,R32
Villanova,6.0,3.6,0.21,0,R32
Nevada,7.0,3.8,0.197,0,R64
Louisville,7.0,2.3,0.191,0,R64
Oklahoma,9.0,2.5,0.189,0,R32
Marquette,5.0,2.7,0.175,0,R64
Minnesota,10.0,2.7,0.157,0,R32
VCU,8.0,1.1,0.145,0,R64
Utah St.,8.0,2.0,0.142,0,R64
New Mexico St.,12.0,1.4,0.119,0,R64
Iowa,10.0,3.2,0.115,0,R32
Oregon,12.0,-1.1,0.114,1,S16
Baylor,9.0,0.9,0.107,0,R32
Mississippi,8.0,0.9,0.106,0,R64
Washington,9.0,3.1,0.102,0,R32
Syracuse,8.0,0.4,0.098,0,R64
Ohio St.,11.0,0.9,0.072,0,R32
Temple,11.0,1.8,0.063,0,R68
Belmont,11.0,1.2,0.061,0,R64
Murray St.,12.0,1.2,0.054,0,R32
Old Dominion,14.0,-1.8,0.053,0,R64
Saint Louis,13.0,-3.2,0.05,0,R64
UC Irvine,13.0,0.7,0.038,0,R32
Arizona St.,11.0,0.1,0.034,0,R64
Seton Hall,10.0,-0.4,0.034,0,R64
Yale,14.0,-0.9,0.016,0,R64
Liberty,12.0,-0.6,0.013,0,R32
Vermont,13.0,-1.0,0.01,0,R64
St. John's,11.0,-1.2,0.007,0,R68
Northeastern,13.0,-2.8,0.006,0,R64
Northern Kentucky,14.0,-2.2,0.006,0,R64
Prairie View A&M,16.0,-7.1,0.005,0,R68
Colgate,15.0,-4.4,0.005,0,R64
Abilene Christian,15.0,-2.6,0.004,0,R64
Georgia St.,14.0,-1.3,0.004,0,R64
North Carolina Central,16.0,-10.9,0.004,0,R68
Bradley,15.0,-7.9,0.004,0,R64
Montana,15.0,-3.2,0.004,0,R64
Gardner Webb,16.0,-5.0,0.004,0,R64
Iona,16.0,-10.4,0.003,0,R64
North Dakota St.,16.0,-8.6,0.003,0,R64
Fairleigh Dickinson,16.0,-9.3,0.003,0,R64
